"Appendix S2: Individual and species mean values, standard deviations and standard errors for 10 Ceanothus species. Values are averages of three leaves per individual plant, and three plants per species for 26 traits.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Individual means,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Species means,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Structural Traits,,,,,,,,,,,,Drought tolerance traits,,,Cell and Tissue Cross-Sectional Thicknesses,,,,,,,Cross-sectional Cell Areas,,,,Cell Wall Thicknesses,,,,,,,,,Structural Traits,,,,,,,,,,Drought tolerance traits,,,Cell and Tissue Cross-Sectional Thicknesses,,,,,,,Cross-sectional Cell Areas,,,,Cell Wall Thicknesses,,,,Climate Variables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,Subgenus,Leaf area,Leaf mass per area,Density,Saturated water content,Leaf dry matter content,Leaf area shrinkage,Leaf thickness shrinkage,Leaf thickness,Petiole area/leaf area,Petiole area/dry leaf mass,Osmotic potential at turgor loss point,Osmotic potential at full turgor,Interveinal distance,Upper cuticle,Upper epidermis,Mesophyll,Lower epidermis,Lower cuticle,Crypt lower epidermis,Hypodermis,Upper epidermis,Palisade mesophyll,Spongy mesophyll,Lower epidermis,Upper epidermis,Palisade mesophyll,Spongy mesophyll,Lower epidermis,,,,Species,Subgenus,Leaf area,Leaf mass per area,Density,Saturated water content,Leaf dry matter content,Leaf area shrinkage,Thickness shrinkage,Leaf thickness,Petiole area/leaf area,Petiole area/dry leaf mass,Osmotic potential at turgor loss point,Osmotic potential at full turgor,Interveinal distance,Upper cuticle,Upper epidermis,Mesophyll,Lower epidermis,Lower cuticle,Crypt lower epidermis,Hypodermis,Upper epidermis,Palisade mesophyll,Spongy mesophyll,Lower epidermis,Upper epidermis,Palisade mesophyll,Spongy mesophyll,Lower epidermis,Potential Evapo-transpiration,Aridity index,Mean Annual Temperature,Annual Annual Precipitationitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,cm2,g m-2,g 0.001m-3,g g-1,g g-1,%,%,mm,,,MPa,MPa,μm,μm,μm,μm,μm,μm,μm,μm,μm2,μm2,μm2,μm2,μm,μm,μm,μm,,,,,,cm2,g m-2,g 0.001m-3,g g-1,g g-1,%,%,mm,,,MPa,MPa,μm,μm,μm,μm,μm,μm,μm,μm,μm2,μm2,μm2,μm2,μm,μm,μm,μm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceanothus lemmonii,Ceanothus,0.254397341,103.9650811,0.32248664,2.65918,0.27331,35.35837966,28.46409,0.324444444,0.07221,69.40039,-2.105026667,-1.771666667,196.5395912,3.883455458,49.2585666,245.6285577,19.92825827,1.839531533,,,930.8744081,692.0340273,268.4541833,565.6713147,1.122471922,4.148347998,0.9403583,1.052825214,,,,Ceanothus lemmonii,Ceanothus,1.990637198,88.71822127,0.352308844,3.04529,0.25765,35.46501,19.35272,0.25444,0.06434,72.39611,-2.12814,-1.79944,199.4947238,3.065102384,44.4555157,247.7842162,18.46348019,1.566599558,,,854.3049673,405.2866328,181.0766658,23.49195109,0.665393286,4.206764976,0.569073852,0.557793593,1269.997642,0.928988443,130.0636792,1166.705189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceanothus lemmonii,Ceanothus,0.215341863,60.27984766,0.304716018,4.07097,0.20597,42.1899512,13.36491,0.202222222,0.03811,65.51295,-2.06828,-1.7275,166.0287057,3.168490869,50.74071803,238.2197423,20.43954584,1.532636355,,,1206.453354,580.1781176,212.7768859,554.7363813,0.822628282,5.575875566,0.63729548,0.670100459,,,,Ceanothus incanus,Ceanothus,6.709717763,169.4982868,0.54812273,1.39336,0.41905,30.51621,6.99410,0.31,0.04490,26.32518,-1.94648,-1.58111,173.4646606,2.933296176,36.21432212,291.4646455,10.6961406,1.290378644,,,514.2688502,373.7893035,249.0998066,13.2377666,0.840612076,3.90615207,0.667728388,0.7005909,1116.718157,1.044256911,123,1150.525745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceanothus lemmonii,Ceanothus,0.127451955,101.9097351,0.429723874,2.40571,0.29366,28.84669986,16.22916,0.236666667,0.08268,82.27498,-2.211106667,-1.899166667,235.9158747,2.143360824,33.36726247,259.5043484,15.02263646,1.327630786,,,1633.874583,599.3220842,235.1480679,447.5489675,0.937496806,5.750988748,0.751908514,0.544501334,,,,Ceanothus tomentosus,Ceanothus,0.890432309,145.124529,0.467324297,1.69751,0.37602,29.36596,5.53595,0.312222222,0.10035,70.33152,-2.28737,-1.99083,161.4432621,3.81399611,46.72042187,267.5517028,10.30989293,1.157371923,,,1134.791123,571.4677694,182.7815383,13.813417,0.8337847,3.48146672,0.626871468,0.735182403,1368.706316,0.389132316,159.8778947,520.1978947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceanothus verrucosus,Cerastes,0.135495547,354.5794939,0.524022858,1.14200,0.46686,25.16850149,17.22946,0.676666667,0.18501,52.21893,-2.794893333,-2.600833333,262.2612205,6.892045092,34.84647214,161.7353211,54.83727961,5.825230915,9.950543496,306.226847,526.7505625,445.2565962,205.4461971,223.6752362,1.558683391,2.79681597,0.733092819,0.89579971,,,,Ceanothus impressus,Ceanothus,1.40625565,90.0193355,0.54999077,1.74446,0.36580,28.66568,0.00000,0.164814815,0.04749,52.99390,-2.31280,-2.02139,188.3210358,3.252973058,32.46003277,121.9358429,12.9966139,1.208572217,,,587.0529952,262.2399661,172.2643674,15.27720718,0.784202512,3.353176428,0.603775127,0.603587768,1115.967033,0.47698022,134.494382,510.1797753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceanothus verrucosus,Cerastes,0.138034969,345.719137,0.547789735,1.58619,0.38703,21.6830802,14.97579,0.631111111,0.11777,34.14661,-2.5134,-2.2625,257.5789903,6.563186705,32.72786373,159.6850247,41.88618012,5.545002234,12.4382577,344.0533817,285.5360967,390.3231406,213.3290248,193.7451247,0.989614518,4.061593575,0.733092819,1.081707024,,,,Ceanothus oliganthus,Ceanothus,2.4768011,117.5247556,0.404298924,1.32034,0.43144,30.15121,28.91267,0.290740741,0.05181,43.51974,-2.37104,-2.09139,150.8592768,4.061617493,49.87855685,150.4981894,14.25640344,1.94349913,,,1282.027772,278.3447105,140.6188579,19.62957285,0.583966098,3.339771694,0.67427347,0.715492603,1274.845405,0.533212538,144.119294,648.3584906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceanothus verrucosus,Cerastes,0.145192063,391.0604544,0.621245876,1.17065,0.46072,20.92186688,11.99901,0.631111111,0.11247,28.69205,-2.60492,-2.3725,244.5273851,6.534616752,38.58087984,248.1589179,34.10704237,5.517040153,21.2972807,458.2866364,272.5345803,331.325102,313.7119089,204.2145053,1.126892126,3.468513785,0.794487823,1.059924968,,,,Ceanothus spinosus,Ceanothus,4.170125073,125.7751353,0.398526659,1.65232,0.38244,30.47294,40.16274,0.312222222,0.05452,48.16196,-2.39854,-2.12444,170.309133,4.225199538,75.79384302,157.3834027,17.63851843,2.58723297,,,2139.973983,231.2942088,164.6610898,23.22970639,0.548827639,2.880604184,0.48756102,0.615936475,1277.119565,0.399273913,155.5804348,505.273913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceonothus incanus,Ceanothus,0.334298615,173.150187,0.556630625,1.23115,0.44821,29.61904439,7.70538,0.311111111,0.08478,49.13920,-1.909506667,-1.536666667,153.6143522,2.243308704,39.35023658,243.1192834,11.58843548,1.224719216,,,774.6427347,325.4474325,205.5704828,170.4471005,0.715373374,4.676702333,0.584255654,0.536376736,,,,Ceanothus verrucosus,Cerastes,1.395741932,363.7863618,0.564352823,1.29961,0.43821,22.59115,14.73475,0.646296296,0.13842,38.35253,-2.63774,-2.41194,254.7891987,6.66328285,35.3850719,189.8597546,43.61016737,5.629091101,369.5222884,14.5620273,361.6070798,388.9682796,244.1623769,14.21986638,1.225063345,3.442307777,0.75355782,1.012477234,1230.019293,0.26659582,167.7073955,324.607717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceonothus incanus,Ceanothus,0.750233267,160.833649,0.534969383,1.52279,0.39648,30.7372296,6.11538,0.301111111,0.02447,15.27894,-1.88108,-1.5025,166.6870304,4.006682532,30.50825135,357.6910413,10.35691165,1.0133215,,,256.3032644,495.632792,287.9695496,136.2251163,1.277137656,4.457723056,0.955776348,1.012105757,,,,Ceanothus megacarpus var. megacarpus,Cerastes,1.491470534,307.1244239,0.510691726,1.74773,0.39383,26.38623,8.83198,0.602222222,0.11529,37.27829,-2.80760,-2.61611,358.6210169,6.344960899,39.02467622,173.1823113,43.54411067,6.494902492,325.8636369,14.41873605,300.4621776,256.3971824,133.802789,15.64978237,1.066645324,3.231916757,0.647382962,0.89093674,1160.432739,0.370161102,155.9518072,436.3599398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
