"term","estimate","std.error","statistic"
"(Intercept)",0.54714566232456,0.0451343359369387,12.1226035781058
"mwp",-0.201343371623043,0.00540578393343147,-37.245915505031
"groupGymnosperm",0.332705895702326,0.119226558948369,2.79053508410322
"mwp:groupGymnosperm",0.253156811259899,0.0276296605747938,9.16250167368509
