contrast,estimate,SE,df,t.ratio,p.value
ARCPAT - QUEBER,-0.3907,0.0472,1437,-8.2741,0
ARCPAT - QUEDOU,-0.2186,0.025,1437,-8.7407,0
ARCPAT - QUEDUR,-0.371,0.0686,1437,-5.4083,0
ARCPAT - QUEGAR,-0.1344,0.0676,1437,-1.9892,0.9566
ARCPAT - QUEKEL,-0.0013,0.0348,1437,-0.0378,1
ARCPAT - SALLEU,0.0984,0.0409,1437,2.4052,0.7644
ARCPAT - SALMEL,0.12,0.0426,1437,2.8177,0.4433
ARCPAT - UMBCAL,-3e-4,0.0795,1437,-0.0036,1
CALDEC - CEACOR,0.0175,0.031,1437,0.5661,1
CALDEC - CEACUN,0.0812,0.1059,1437,0.767,1
CALDEC - CEAPAR,-0.0278,0.0779,1437,-0.3567,1
CALDEC - CEASPI,-0.1162,0.046,1437,-2.528,0.6745
CALDEC - CERBET,-0.3868,0.0464,1437,-8.3343,0
CALDEC - ERIFAS,-0.2194,0.0484,1437,-4.5354,0.0016
CALDEC - HETARB,-0.1333,0.0375,1437,-3.5497,0.0725
CALDEC - MALLAU,-0.0577,0.0804,1437,-0.7176,1
CALDEC - PINJEF,0.1394,0.0333,1437,4.1844,0.0074
CALDEC - PSEMEN,0.1135,0.0925,1437,1.2276,1
CALDEC - QUEAGR,-0.4642,0.0313,1437,-14.8486,0
CALDEC - QUEBER,-0.3679,0.0501,1437,-7.3457,0
CALDEC - QUEDOU,-0.1959,0.0301,1437,-6.5119,0
CALDEC - QUEDUR,-0.3483,0.0706,1437,-4.9322,3e-4
CALDEC - QUEGAR,-0.1116,0.0696,1437,-1.6037,0.9972
CALDEC - QUEKEL,0.0215,0.0386,1437,0.5561,1
CALDEC - SALLEU,0.1212,0.0442,1437,2.7424,0.5028
CALDEC - SALMEL,0.1428,0.0458,1437,3.1212,0.2367
CALDEC - UMBCAL,0.0225,0.0812,1437,0.277,1
CEACOR - CEACUN,0.0637,0.1047,1437,0.6083,1
CEACOR - CEAPAR,-0.0453,0.0763,1437,-0.5941,1
CEACOR - CEASPI,-0.1338,0.0432,1437,-3.0992,0.2493
