"Model","AIC","Delta_AIC","In_Sample_R2","Cross_Val_R2"
"P50 + SLA + LFMmax + Psimin + F.Type",-144.8,0,0.757,0.501
"P50 + SLA + TLP + F.Type",-144.6,0.2,0.757,0.509
"P50 + SLA + LDMC + F.Type",-144,0.8,0.756,0.496
"P50 + SLA + F.Type",-143.5,1.3,0.755,0.54
"P50 + SLA + LFMmax + Psimin",-137.6,7.2,0.754,0.521
"P50 + SLA + LDMC",-117.1,27.7,0.746,0.521
"P50 + SLA",-115,29.8,0.746,0.49
"P50 + SLA + TLP",-113.3,31.5,0.747,0.443
"Base Model (WP Only)",-55.2,89.6,0.724,0.407
