"Model","AIC","Delta_AIC","In_Sample_R2","Cross_Val_R2"
"F.Type + ldmc + lfmmax + mwp + sla + tlp +      (1 | species) + F.Type x mwp + lfmmax x mwp +      mwp x sla + mwp x tlp",-156.5,5,0.758,0.526
"F.Type + lfmmax + mwp + p50 + sla + tlp +      (1 | species) + F.Type x mwp + lfmmax x mwp",-156.3,5.2,0.756,0.549
"F.Type + ldmc + lfmmax + mwp + p50 + sla +      tlp + F.Type x mwp + lfmmax x mwp +      mwp x p50 + mwp x sla",-156.3,5.2,0.757,0.513
"F.Type + ldmc + lfmmax + mwp + p50 + sla +      tlp + F.Type x mwp + ldmc x mwp +      lfmmax x mwp + mwp x sla",-156.3,5.2,0.757,0.521
"F.Type + ldmc + lfmmax + mwp + psimin + sla +      tlp + F.Type x mwp + ldmc x mwp +      mwp x psimin + mwp x sla + mwp x tlp",-156.2,5.2,0.758,0.561
"F.Type + ldmc + lfmmax + mwp + psimin + sla +      tlp + F.Type x mwp + ldmc x mwp +      lfmmax x mwp + mwp x psimin + mwp x sla",-156.2,5.3,0.758,0.564
"F.Type + ldmc + lfmmax + mwp + psimin + sla +      tlp + F.Type x mwp + ldmc x mwp +      lfmmax x mwp + mwp x sla + mwp x tlp",-156.2,5.3,0.758,0.557
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + tlp + F.Type x mwp + lfmmax x mwp +      mwp x sla + mwp x tlp",-156.2,5.3,0.758,0.518
"F.Type + lfmmax + mwp + p50 + psimin + sla +      tlp + F.Type x mwp + lfmmax x mwp +      mwp x p50 + mwp x sla + mwp x tlp",-156.2,5.3,0.758,0.541
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + tlp + F.Type x mwp + lfmmax x mwp +      mwp x psimin + mwp x sla",-156.2,5.3,0.758,0.521
"F.Type + lfmmax + mwp + p50 + psimin + sla +      tlp + F.Type x mwp + lfmmax x mwp +      mwp x p50 + mwp x psimin + mwp x sla",-156.1,5.4,0.758,0.551
"F.Type + ldmc + lfmmax + mwp + sla + tlp +      (1 | species) + F.Type x mwp + ldmc x mwp + lfmmax x mwp +      mwp x sla",-156.1,5.4,0.757,0.531
"F.Type + lfmmax + mwp + psimin + sla + tlp +      (1 | species) + F.Type x mwp + mwp x sla",-156,5.4,0.755,0.601
"F.Type + lfmmax + mwp + psimin + sla + tlp +      (1 | species) + F.Type x mwp + lfmmax x mwp +      mwp x psimin + mwp x tlp",-156,5.5,0.757,0.58
"F.Type + lfmmax + mwp + p50 + sla + tlp +      (1 | species) + F.Type x mwp + lfmmax x mwp +      mwp x tlp",-156,5.5,0.756,0.548
"F.Type + ldmc + lfmmax + mwp + p50 + sla +      tlp + F.Type x mwp + mwp x sla +      mwp x tlp",-155.9,5.6,0.757,0.522
"F.Type + lfmmax + mwp + p50 + sla + tlp +      (1 | species) + F.Type x mwp + mwp x p50 + mwp x sla +      mwp x tlp",-155.9,5.6,0.757,0.549
"F.Type + lfmmax + mwp + p50 + psimin + sla +      (1 | species) + F.Type x mwp + lfmmax x mwp +      mwp x sla",-155.8,5.6,0.758,0.491
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + tlp + F.Type x mwp + mwp x psimin +      mwp x sla + mwp x tlp",-155.8,5.7,0.758,0.515
"F.Type + ldmc + lfmmax + mwp + p50 + sla +      (1 | species) + F.Type x mwp + lfmmax x mwp +      mwp x sla",-155.8,5.7,0.758,0.471
"F.Type + lfmmax + mwp + p50 + sla +      F.Type x mwp + lfmmax x mwp + mwp x p50 + mwp x sla",-155.8,5.7,0.758,0.482
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + tlp + F.Type x mwp + lfmmax x mwp +      mwp x p50 + mwp x sla",-155.7,5.8,0.757,0.513
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + tlp + F.Type x mwp + ldmc x mwp +      lfmmax x mwp + mwp x sla",-155.7,5.8,0.757,0.518
"F.Type + ldmc + lfmmax + mwp + psimin + sla +      tlp + F.Type x mwp + lfmmax x mwp",-155.6,5.9,0.756,0.559
"F.Type + lfmmax + mwp + psimin + sla + tlp +      (1 | species) + F.Type x mwp + lfmmax x mwp +      mwp x psimin",-155.5,5.9,0.756,0.581
"F.Type + ldmc + lfmmax + mwp + sla + tlp +      (1 | species) + F.Type x mwp + mwp x sla + mwp x tlp",-155.5,5.9,0.757,0.525
"F.Type + lfmmax + mwp + p50 + psimin + sla +      tlp + F.Type x mwp + lfmmax x mwp",-155.5,6,0.756,0.54
"F.Type + lfmmax + mwp + sla + tlp +      F.Type x mwp + lfmmax x mwp",-155.5,6,0.756,0.545
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + tlp + F.Type x mwp + lfmmax x mwp +      mwp x psimin + mwp x sla + mwp x tlp",-155.3,6.1,0.758,0.511
"F.Type + lfmmax + mwp + psimin + sla + (1 |      species) + F.Type x mwp + lfmmax x mwp + mwp x psimin +      mwp x sla",-155.3,6.2,0.758,0.505
"F.Type + ldmc + lfmmax + mwp + psimin + sla +      tlp + F.Type x mwp + ldmc x mwp +      lfmmax x mwp + mwp x psimin + mwp x sla + mwp x tlp",-155.3,6.2,0.758,0.546
"F.Type + lfmmax + mwp + p50 + psimin + sla +      tlp + F.Type x mwp + lfmmax x mwp +      mwp x p50 + mwp x psimin + mwp x sla + mwp x tlp",-155.3,6.2,0.758,0.533
"F.Type + lfmmax + mwp + psimin + sla + tlp +      (1 | species) + F.Type x mwp + mwp x psimin +      mwp x sla",-155.3,6.2,0.755,0.595
"F.Type + ldmc + lfmmax + mwp + p50 + sla +      tlp + F.Type x mwp + ldmc x mwp +      mwp x sla + mwp x tlp",-155.2,6.2,0.757,0.523
"F.Type + ldmc + lfmmax + mwp + sla +      F.Type x mwp + lfmmax x mwp + mwp x sla",-155.2,6.3,0.758,0.465
"F.Type + ldmc + lfmmax + mwp + psimin + sla +      tlp + F.Type x mwp + lfmmax x mwp +      mwp x tlp",-155.2,6.3,0.756,0.556
"F.Type + lfmmax + mwp + p50 + psimin + sla +      tlp + F.Type x mwp + lfmmax x mwp +      mwp x tlp",-155.2,6.3,0.756,0.539
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + tlp + F.Type x mwp + mwp x sla +      mwp x tlp",-155.1,6.3,0.757,0.516
"F.Type + ldmc + lfmmax + mwp + psimin + sla +      (1 | species) + F.Type x mwp + lfmmax x mwp +      mwp x sla",-155.1,6.4,0.757,0.489
"F.Type + lfmmax + mwp + p50 + sla + tlp +      (1 | species) + F.Type x mwp + lfmmax x mwp +      mwp x p50 + mwp x tlp",-155.1,6.4,0.757,0.529
"F.Type + lfmmax + mwp + p50 + psimin + sla +      tlp + F.Type x mwp + mwp x p50 +      mwp x sla + mwp x tlp",-155.1,6.4,0.757,0.543
"F.Type + ldmc + lfmmax + mwp + psimin + sla +      tlp + F.Type x mwp + ldmc x mwp +      mwp x sla",-155,6.5,0.756,0.573
"F.Type + lfmmax + mwp + p50 + sla + tlp +      (1 | species) + F.Type x mwp + lfmmax x mwp +      mwp x p50",-155,6.5,0.756,0.531
"F.Type + lfmmax + mwp + p50 + tlp +      F.Type x mwp + lfmmax x mwp",-155,6.5,0.756,0.516
"F.Type + lfmmax + mwp + sla + tlp +      F.Type x mwp + lfmmax x mwp + mwp x tlp",-154.9,6.5,0.756,0.542
"F.Type + ldmc + lfmmax + mwp + sla + tlp +      (1 | species) + F.Type x mwp + ldmc x mwp + mwp x sla +      mwp x tlp",-154.9,6.6,0.757,0.527
"F.Type + lfmmax + mwp + sla + tlp +      F.Type x mwp + mwp x sla",-154.9,6.6,0.755,0.566
"F.Type + ldmc + lfmmax + mwp + p50 + sla +      tlp + F.Type x mwp + lfmmax x mwp +      mwp x p50 + mwp x sla + mwp x tlp",-154.9,6.6,0.758,0.504
"F.Type + lfmmax + mwp + p50 + sla + tlp +      (1 | species) + F.Type x mwp + mwp x sla",-154.9,6.6,0.755,0.564
"F.Type + lfmmax + mwp + psimin + sla + tlp +      (1 | species) + F.Type x mwp + mwp x psimin +      mwp x tlp",-154.9,6.6,0.756,0.575
"F.Type + ldmc + lfmmax + mwp + p50 + sla +      tlp + F.Type x mwp + ldmc x mwp +      lfmmax x mwp + mwp x sla + mwp x tlp",-154.8,6.6,0.758,0.508
"F.Type + lfmmax + mwp + p50 + tlp +      F.Type x mwp + lfmmax x mwp + mwp x tlp",-154.8,6.7,0.756,0.515
"F.Type + lfmmax + mwp + tlp +      F.Type x mwp + lfmmax x mwp",-154.7,6.7,0.756,0.517
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + tlp + F.Type x mwp + mwp x p50 +      mwp x psimin + mwp x sla + mwp x tlp",-154.6,6.8,0.758,0.516
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + tlp + F.Type x mwp + ldmc x mwp +      mwp x sla + mwp x tlp",-154.5,7,0.757,0.517
"F.Type + ldmc + lfmmax + mwp + sla + tlp +      (1 | species) + F.Type x mwp + ldmc x mwp + lfmmax x mwp +      mwp x sla + mwp x tlp",-154.5,7,0.758,0.512
"F.Type + lfmmax + mwp + p50 + psimin + sla +      tlp + F.Type x mwp + lfmmax x mwp +      mwp x p50 + mwp x tlp",-154.5,7,0.757,0.526
"F.Type + ldmc + lfmmax + mwp + p50 + sla +      tlp + F.Type x mwp + lfmmax x mwp",-154.4,7.1,0.756,0.507
"F.Type + lfmmax + mwp + p50 + psimin + sla +      tlp + F.Type x mwp + lfmmax x mwp +      mwp x p50",-154.4,7.1,0.756,0.527
"F.Type + lfmmax + mwp + psimin + tlp + (1 |      species) + F.Type x mwp + lfmmax x mwp",-154.4,7.1,0.756,0.538
"F.Type + lfmmax + mwp + p50 + tlp +      F.Type x mwp + lfmmax x mwp + mwp x p50 + mwp x tlp",-154.3,7.1,0.757,0.498
