"Model","AIC","Delta_AIC","In_Sample_R2","Cross_Val_R2"
"F.Type + ldmc + lfmmax + mwp + p50 + tlp +      (1 | species) + F.Type x mwp + lfmmax x mwp +      mwp x tlp",-152.8,8.7,0.756,0.465
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + tlp + F.Type x mwp + ldmc x mwp +      mwp x p50 + mwp x psimin + mwp x sla + mwp x tlp",-152.8,8.7,0.758,0.509
"F.Type + lfmmax + mwp + p50 + sla +      F.Type x mwp + lfmmax x mwp + mwp x p50",-152.8,8.7,0.756,0.453
"F.Type + lfmmax + mwp + p50 + psimin + sla +      tlp + F.Type x mwp + lfmmax x mwp +      mwp x p50 + mwp x psimin + mwp x tlp",-152.7,8.8,0.757,0.509
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + tlp + F.Type x mwp + mwp x p50 +      mwp x psimin + mwp x sla",-152.6,8.9,0.756,0.52
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + tlp + F.Type x mwp + lfmmax x mwp +      mwp x p50 + mwp x tlp",-152.6,8.9,0.757,0.487
"F.Type + ldmc + lfmmax + mwp + tlp +      F.Type x mwp + lfmmax x mwp + mwp x tlp",-152.6,8.9,0.756,0.478
"F.Type + ldmc + lfmmax + mwp + psimin + tlp +      (1 | species) + F.Type x mwp + lfmmax x mwp",-152.6,8.9,0.756,0.498
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + tlp + F.Type x mwp + lfmmax x mwp +      mwp x p50",-152.5,8.9,0.756,0.489
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + tlp + F.Type x mwp + ldmc x mwp +      mwp x p50 + mwp x sla + mwp x tlp",-152.5,9,0.757,0.502
"F.Type + lfmmax + mwp + psimin + tlp + (1 |      species) + F.Type x mwp + lfmmax x mwp + mwp x psimin",-152.5,9,0.756,0.528
"F.Type + lfmmax + mwp + p50 + psimin + tlp +      (1 | species) + F.Type x mwp + lfmmax x mwp +      mwp x p50 + mwp x tlp",-152.5,9,0.757,0.474
"F.Type + ldmc + lfmmax + mwp + psimin + sla +      tlp + F.Type x mwp + ldmc x mwp +      mwp x psimin + mwp x tlp",-152.5,9,0.756,0.542
"F.Type + ldmc + lfmmax + mwp + p50 + tlp +      (1 | species) + F.Type x mwp + lfmmax x mwp +      mwp x p50 + mwp x tlp",-152.4,9.1,0.757,0.443
"F.Type + lfmmax + mwp + p50 + psimin + sla +      tlp + F.Type x mwp + lfmmax x mwp +      mwp x p50 + mwp x psimin",-152.4,9.1,0.756,0.519
"F.Type + ldmc + lfmmax + mwp + p50 + sla +      tlp + F.Type x mwp + ldmc x mwp +      lfmmax x mwp",-152.4,9.1,0.756,0.492
"F.Type + lfmmax + mwp + p50 + psimin + sla +      (1 | species) + F.Type x mwp + lfmmax x mwp +      mwp x p50 + mwp x psimin + mwp x sla",-152.4,9.1,0.758,0.475
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + tlp + F.Type x mwp + ldmc x mwp +      lfmmax x mwp + mwp x p50 + mwp x psimin + mwp x sla",-152.4,9.1,0.758,0.496
"F.Type + lfmmax + mwp + psimin + tlp + (1 |      species) + F.Type x mwp + mwp x psimin + mwp x tlp",-152.3,9.2,0.756,0.531
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + tlp + F.Type x mwp + ldmc x mwp +      lfmmax x mwp + mwp x p50 + mwp x sla + mwp x tlp",-152.3,9.2,0.758,0.465
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + F.Type x mwp + lfmmax x mwp +      mwp x psimin + mwp x sla",-152.3,9.2,0.758,0.453
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + tlp + F.Type x mwp + lfmmax x mwp +      mwp x psimin + mwp x tlp",-152.3,9.2,0.757,0.496
"F.Type + ldmc + lfmmax + mwp + psimin + sla +      tlp + F.Type x mwp + ldmc x mwp +      lfmmax x mwp + mwp x psimin + mwp x tlp",-152.2,9.3,0.757,0.533
"F.Type + lfmmax + mwp + p50 + psimin + tlp +      (1 | species) + F.Type x mwp + lfmmax x mwp +      mwp x p50",-152.2,9.3,0.756,0.474
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + tlp + F.Type x mwp + mwp x sla",-152.2,9.3,0.755,0.518
"F.Type + ldmc + lfmmax + mwp + psimin + tlp +      (1 | species) + F.Type x mwp + lfmmax x mwp +      mwp x tlp",-152.2,9.3,0.756,0.495
"F.Type + ldmc + lfmmax + mwp + p50 + sla +      tlp + F.Type x mwp + ldmc x mwp +      mwp x p50 + mwp x sla",-152.2,9.3,0.756,0.515
"F.Type + ldmc + lfmmax + mwp + p50 + tlp +      (1 | species) + F.Type x mwp + lfmmax x mwp +      mwp x p50",-152.2,9.3,0.756,0.444
"F.Type + ldmc + lfmmax + mwp + p50 + sla +      tlp + F.Type x mwp + ldmc x mwp +      lfmmax x mwp + mwp x tlp",-152.2,9.3,0.756,0.488
"F.Type + lfmmax + mwp + p50 + psimin + sla +      (1 | species) + F.Type x mwp + lfmmax x mwp",-152.2,9.3,0.756,0.466
"F.Type + ldmc + lfmmax + mwp + p50 + sla +      (1 | species) + F.Type x mwp + lfmmax x mwp",-152.1,9.4,0.756,0.447
"F.Type + lfmmax + mwp + p50 +      F.Type x mwp + lfmmax x mwp",-152.1,9.4,0.756,0.411
"F.Type + lfmmax + mwp + p50 + tlp +      F.Type x mwp + mwp x tlp",-152,9.5,0.755,0.514
"F.Type + ldmc + lfmmax + mwp + p50 + sla +      tlp + F.Type x mwp + mwp x p50 +      mwp x sla",-151.9,9.5,0.755,0.515
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + F.Type x mwp + ldmc x mwp +      lfmmax x mwp + mwp x sla",-151.9,9.6,0.758,0.458
"F.Type + lfmmax + mwp + p50 + psimin + sla +      tlp + F.Type x mwp + mwp x tlp",-151.9,9.6,0.755,0.532
"F.Type + lfmmax + mwp + p50 + psimin + tlp +      (1 | species) + F.Type x mwp + lfmmax x mwp +      mwp x psimin + mwp x tlp",-151.9,9.6,0.757,0.477
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + F.Type x mwp + lfmmax x mwp +      mwp x p50 + mwp x sla",-151.9,9.6,0.758,0.445
"F.Type + ldmc + lfmmax + mwp + sla + tlp +      (1 | species) + F.Type x mwp + ldmc x mwp + lfmmax x mwp",-151.8,9.6,0.756,0.499
"F.Type + ldmc + lfmmax + mwp + p50 + sla +      (1 | species) + F.Type x mwp + ldmc x mwp + lfmmax x mwp +      mwp x p50 + mwp x sla",-151.8,9.6,0.758,0.437
"F.Type + ldmc + lfmmax + mwp + p50 + sla +      tlp + F.Type x mwp + ldmc x mwp +      mwp x tlp",-151.8,9.7,0.755,0.501
"F.Type + lfmmax + mwp + sla + tlp +      F.Type x mwp + mwp x tlp",-151.8,9.7,0.755,0.533
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + tlp + F.Type x mwp + lfmmax x mwp +      mwp x psimin",-151.8,9.7,0.756,0.496
"F.Type + ldmc + lfmmax + mwp + psimin + sla +      tlp + F.Type x mwp + mwp x tlp",-151.8,9.7,0.755,0.546
"F.Type + ldmc + lfmmax + mwp + psimin + sla +      tlp + F.Type x mwp + ldmc x mwp +      lfmmax x mwp + mwp x psimin",-151.8,9.7,0.756,0.537
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + tlp + F.Type x mwp + ldmc x mwp +      lfmmax x mwp",-151.7,9.8,0.756,0.491
"F.Type + lfmmax + mwp + p50 + sla + tlp +      (1 | species) + F.Type x mwp + mwp x p50 + mwp x tlp",-151.6,9.9,0.755,0.524
"F.Type + lfmmax + mwp + p50 + sla +      F.Type x mwp + mwp x sla",-151.6,9.9,0.755,0.483
"F.Type + lfmmax + mwp + F.Type x mwp +      lfmmax x mwp",-151.6,9.9,0.756,0.386
"F.Type + lfmmax + mwp + tlp +      F.Type x mwp + mwp x tlp",-151.5,10,0.755,0.512
"Base (WP Only)",-55.2,106.3,0.724,0.407
