"","Species","N","minWP","intercept","slope","critWP","LFM2.5","i.intercept","i.slope","i.critWP","i.LFM2.5"
"1","ABICON",199,-2.394,1.11019662197937,-0.165623323795026,2.47668391492388,1.52425493146694,0.874100828590639,0.0731284981425306,7.58214121805295,1.44659270178539
"2","ADEFAS",49,-7.17,1.08633855401035,0.0932567843044543,-4.14273939308348,0.853196593249216,0.817538712662987,-0.170148666283252,-3.5911695886657,0.804563239153687
"3","ARBMEN",12,-5.55,1.90620870137266,0.190207274432238,-6.34154873925379,1.43069051529206,0.460809174486271,-0.108822549172874,-8.89303054781218,1.36450676870066
"4","ARCGLA",23,-6.48,1.09297296266708,0.0883071900383397,-4.45006757090185,0.872204987571233,0.887328165873413,-0.135575170516433,-3.99220049391279,0.815483691826534
"5","ARCPAT",125,-6.411,1.33236453305198,0.082136475203642,-7.69894899293103,1.12702334504288,0.752959935016177,-0.073328059874231,-9.21354655658462,1.06805646765256
"6","CALDEC",144,-3.584,1.03308310351219,-0.00662189177484943,50.3002940605686,1.04963783294931,1.00496523009903,0.0148089491384422,28.6047439634164,1.03311883806659
"7","CEACOR",140,-4.0845,1.92755739524231,0.297343050655133,-4.12842133871179,1.18419976860448,0.433174121417665,-0.198305505772984,-5.01951422515357,1.07649824087522
"8","CEACUN",6,-7,1.56650032803116,0.148355430091948,-5.84070517334028,1.19561175280129,0.372606105332382,-0.197107360821584,-5.35731044663966,1.15556905301066
"9","CEAPAR",9,-4.3,1.90804254074593,0.302750168077259,-3.99022913320943,1.15116712055278,0.272247191597195,-0.277615638762565,-4.165198481355,1.03488998229355
"10","CEASPI",32,-6.07,1.5410703809658,0.178021232619316,-4.72455093468745,1.09601729941751,0.593765802500473,-0.187996701194503,-4.44053337514289,0.940063828305729
"11","CERBET",29,-6.62,1.05064717723844,0.0975857768485294,-3.59322012451368,0.806682735117114,0.851154585240476,-0.193049047979659,-2.99103698968665,0.749750405171927
"12","ERIFAS",29,-7.1,1.32339242617225,0.142915758577962,-4.36195722833589,0.966103029727343,0.581098337970946,-0.232538566438423,-3.64444102146341,0.86025593603596
"13","HETARB",48,-4.76,1.33113300542803,0.139599326202591,-4.52103188887971,0.982134689921557,0.768245765704739,-0.12745274706079,-5.18094492346832,0.920066775973299
"14","MALLAU",30,-3.03,1.43936613510483,0.194447278588547,-3.8023989868706,0.953247938633468,0.824268084014627,-0.0768447668658416,-7.86394922131544,0.983883979259503
"15","PINJEF",114,-3.343,0.831453674231586,-0.191059419234153,0.688025090615832,1.30910222231697,1.09583720332505,0.103358974770289,3.21920980723601,1.19411573240618
"16","PSEMEN",12,-2.75,1.45299941405338,0.109074407168854,-6.90353891071524,1.18031339613125,0.685337246401991,-0.0644480962157805,-11.5322907240114,1.18139424061728
"17","QUEAGR",47,-4.83,1.21680680518584,0.145203751351163,-3.55918356362562,0.853797426807932,0.818036218905789,-0.169242559194376,-3.60745673293937,0.805709179904211
"18","QUEBER",32,-5.86,1.00134476046515,0.0855888376857429,-3.52084183654414,0.787372666250792,0.901875218909298,-0.166295342612534,-3.1672336782716,0.758947857428976
"19","QUEDOU",12,-5.86,1.26279645358222,0.10714043964914,-5.25288542239744,0.994945354459371,0.71200797549468,-0.145604483663932,-4.92130073913548,0.929351459770749
"20","QUEDUR",12,-3.58,1.16532504837967,0.14370362206821,-3.2380885163688,0.806065993209147,0.837094362662686,-0.183645773147175,-3.22074968441952,0.771480646827917
"21","QUEGAR",12,-5.4,1.10516898126596,0.0626528957060052,-6.46688356061285,0.948536742000943,0.860504106836547,-0.0836568659322297,-6.79044469816825,0.934888501449575
"22","QUEKEL",65,-4.75,1.50144841040082,0.144819985270241,-5.53410089709152,1.13939844722522,0.704515233006824,-0.092461887077788,-7.83086110880971,1.06875292858394
"23","SALLEU",30,-7.38,2.41659007444727,0.312729477411733,-5.48905747118699,1.63476638091794,0.230336754969798,-0.236426296524857,-5.06811082867701,1.2174299500263
"24","SALMEL",28,-7.58,2.44801736138956,0.297719053029959,-5.87136544873283,1.70371972881466,0.220606678628562,-0.231862432808959,-5.2098338454775,1.24958957128852
"25","UMBCAL",12,-2.93,1.87160378429757,0.317691142305618,-3.68787047632095,1.07737592853352,0.518028969785862,-0.163772291592273,-5.55980776682574,1.07821396587898
