species,mwp,ilfm,study,intercept,slope,min_lfm,max_lfm,min_wp,max_wp,min_ilfm,intercept_lfm,maxlfm_minwp,sp_code,max_rooting_depth_m,plc50_stem,psi_tlp,ldmc,sla,sla_try_units,swc,lma,psimin_pd,psimin_md,functional_type,growth_form,leaf_habit,rwc_at_tlp,reference_if_not_try_p50,reference_if_not_try_trait,swc_g_calc,sla_calc,min_pd,max_pd,psi_z,sla_z
ABICON,-0.89,0.7825648777351468,SEKI,1.0250286473402828,0.13666254940116962,0.8471023191,2.678534393,-2.394,-0.765,1.180494938394745,0.9755824899087197,5.072534393,ABICON,NA,-3.8,-2.11,0.4028,37.689,4.60264848,1.0711,NA,NA,-3.28,gymnosperm,tree,NA,89.403,"Boving et al. 2026, Boving et al., 2025, Mencucinni et al 2021,","P50, TLP, SLA, RWCtlp, SWC;  Psimin_md",0.5972,NA,-2.2755,-0.43,1.4206063427916509,-0.9688771115408973
ABICON,-1.545,0.7319253837086619,SEKI,1.0250286473402828,0.13666254940116962,0.8471023191,2.678534393,-2.394,-0.765,1.180494938394745,0.9755824899087197,5.072534393,ABICON,NA,-3.8,-2.11,0.4028,37.689,4.60264848,1.0711,NA,NA,-3.28,gymnosperm,tree,NA,89.403,"Boving et al. 2026, Boving et al., 2025, Mencucinni et al 2021,","P50, TLP, SLA, RWCtlp, SWC;  Psimin_md",0.5972,NA,-2.2755,-0.43,0.9433565604148397,-0.9688771115408973
ABICON,-0.815,0.7476215197008045,SEKI,1.0250286473402828,0.13666254940116962,0.8471023191,2.678534393,-2.394,-0.765,1.180494938394745,0.9755824899087197,5.072534393,ABICON,NA,-3.8,-2.11,0.4028,37.689,4.60264848,1.0711,NA,NA,-3.28,gymnosperm,tree,NA,89.403,"Boving et al. 2026, Boving et al., 2025, Mencucinni et al 2021,","P50, TLP, SLA, RWCtlp, SWC;  Psimin_md",0.5972,NA,-2.2755,-0.43,1.4752532644378507,-0.9688771115408973
ABICON,-1.57,0.7594639794975955,SEKI,1.0250286473402828,0.13666254940116962,0.8471023191,2.678534393,-2.394,-0.765,1.180494938394745,0.9755824899087197,5.072534393,ABICON,NA,-3.8,-2.11,0.4028,37.689,4.60264848,1.0711,NA,NA,-3.28,gymnosperm,tree,NA,89.403,"Boving et al. 2026, Boving et al., 2025, Mencucinni et al 2021,","P50, TLP, SLA, RWCtlp, SWC;  Psimin_md",0.5972,NA,-2.2755,-0.43,0.9251409198661065,-0.9688771115408973
ABICON,-1.56,0.8408388995887508,SEKI,1.0250286473402828,0.13666254940116962,0.8471023191,2.678534393,-2.394,-0.765,1.180494938394745,0.9755824899087197,5.072534393,ABICON,NA,-3.8,-2.11,0.4028,37.689,4.60264848,1.0711,NA,NA,-3.28,gymnosperm,tree,NA,89.403,"Boving et al. 2026, Boving et al., 2025, Mencucinni et al 2021,","P50, TLP, SLA, RWCtlp, SWC;  Psimin_md",0.5972,NA,-2.2755,-0.43,0.9324271760855998,-0.9688771115408973
ABICON,-1.48,0.7918728173258143,SEKI,1.0250286473402828,0.13666254940116962,0.8471023191,2.678534393,-2.394,-0.765,1.180494938394745,0.9755824899087197,5.072534393,ABICON,NA,-3.8,-2.11,0.4028,37.689,4.60264848,1.0711,NA,NA,-3.28,gymnosperm,tree,NA,89.403,"Boving et al. 2026, Boving et al., 2025, Mencucinni et al 2021,","P50, TLP, SLA, RWCtlp, SWC;  Psimin_md",0.5972,NA,-2.2755,-0.43,0.9907172258415462,-0.9688771115408973
ABICON,-1.9,0.777943799023242,SEKI,1.0250286473402828,0.13666254940116962,0.8471023191,2.678534393,-2.394,-0.765,1.180494938394745,0.9755824899087197,5.072534393,ABICON,NA,-3.8,-2.11,0.4028,37.689,4.60264848,1.0711,NA,NA,-3.28,gymnosperm,tree,NA,89.403,"Boving et al. 2026, Boving et al., 2025, Mencucinni et al 2021,","P50, TLP, SLA, RWCtlp, SWC;  Psimin_md",0.5972,NA,-2.2755,-0.43,0.6846944646228276,-0.9688771115408973
ABICON,-2.27,0.3733384953403509,SEKI,1.0250286473402828,0.13666254940116962,0.8471023191,2.678534393,-2.394,-0.765,1.180494938394745,0.9755824899087197,5.072534393,ABICON,NA,-3.8,-2.11,0.4028,37.689,4.60264848,1.0711,NA,NA,-3.28,gymnosperm,tree,NA,89.403,"Boving et al. 2026, Boving et al., 2025, Mencucinni et al 2021,","P50, TLP, SLA, RWCtlp, SWC;  Psimin_md",0.5972,NA,-2.2755,-0.43,0.4151029845015754,-0.9688771115408973
ABICON,-1.9,0.7650624003063922,SEKI,1.0250286473402828,0.13666254940116962,0.8471023191,2.678534393,-2.394,-0.765,1.180494938394745,0.9755824899087197,5.072534393,ABICON,NA,-3.8,-2.11,0.4028,37.689,4.60264848,1.0711,NA,NA,-3.28,gymnosperm,tree,NA,89.403,"Boving et al. 2026, Boving et al., 2025, Mencucinni et al 2021,","P50, TLP, SLA, RWCtlp, SWC;  Psimin_md",0.5972,NA,-2.2755,-0.43,0.6846944646228276,-0.9688771115408973
ABICON,-2.275,0.8583122364477176,SEKI,1.0250286473402828,0.13666254940116962,0.8471023191,2.678534393,-2.394,-0.765,1.180494938394745,0.9755824899087197,5.072534393,ABICON,NA,-3.8,-2.11,0.4028,37.689,4.60264848,1.0711,NA,NA,-3.28,gymnosperm,tree,NA,89.403,"Boving et al. 2026, Boving et al., 2025, Mencucinni et al 2021,","P50, TLP, SLA, RWCtlp, SWC;  Psimin_md",0.5972,NA,-2.2755,-0.43,0.4114598563918288,-0.9688771115408973
