"","Species","date","mwp","lfm","study","Sp.Site"
"297","SALMEL","10/30/15",-7.1,0.5618,"StuntRanch","SALMEL_StuntRanch"
"298","SALMEL","10/30/15",-7.58,0.5924,"StuntRanch","SALMEL_StuntRanch"
"299","ADEFAS","12/16/15",-4.76,0.6304,"StuntRanch","ADEFAS_StuntRanch"
"300","ADEFAS","12/16/15",-4.83,0.6022,"StuntRanch","ADEFAS_StuntRanch"
"301","ADEFAS","12/16/15",-5.24,0.5598,"StuntRanch","ADEFAS_StuntRanch"
"302","ADEFAS","12/16/15",-6.27,0.4361,"StuntRanch","ADEFAS_StuntRanch"
"303","ARCGLA","12/16/15",-4.65,0.6168,"StuntRanch","ARCGLA_StuntRanch"
"304","ARCGLA","12/16/15",-6.07,0.533,"StuntRanch","ARCGLA_StuntRanch"
"305","ARCGLA","12/16/15",-6.14,0.5259,"StuntRanch","ARCGLA_StuntRanch"
"306","ARCGLA","12/16/15",-6.48,0.6023,"StuntRanch","ARCGLA_StuntRanch"
"307","CERBET","12/16/15",-5.03,0.5727,"StuntRanch","CERBET_StuntRanch"
"308","CERBET","12/16/15",-6.14,0.5086,"StuntRanch","CERBET_StuntRanch"
"309","CERBET","12/16/15",-6.27,0.4333,"StuntRanch","CERBET_StuntRanch"
"310","CERBET","12/16/15",-6.62,0.5322,"StuntRanch","CERBET_StuntRanch"
"311","CEASPI","12/16/15",-4.69,0.645,"StuntRanch","CEASPI_StuntRanch"
"312","CEASPI","12/16/15",-4.83,0.674,"StuntRanch","CEASPI_StuntRanch"
"313","CEASPI","12/16/15",-5.45,0.6712,"StuntRanch","CEASPI_StuntRanch"
"314","CEASPI","12/16/15",-6.07,0.5614,"StuntRanch","CEASPI_StuntRanch"
"315","ERIFAS","12/16/15",-5.72,0.5391,"StuntRanch","ERIFAS_StuntRanch"
"316","ERIFAS","12/16/15",-6.34,0.5324,"StuntRanch","ERIFAS_StuntRanch"
"317","ERIFAS","12/16/15",-6.34,0.5813,"StuntRanch","ERIFAS_StuntRanch"
"318","ERIFAS","12/16/15",-6.41,0.5667,"StuntRanch","ERIFAS_StuntRanch"
"319","HETARB","12/16/15",-2.76,0.8295,"StuntRanch","HETARB_StuntRanch"
"320","HETARB","12/16/15",-4.03,0.7434,"StuntRanch","HETARB_StuntRanch"
"321","HETARB","12/16/15",-4.14,0.8177,"StuntRanch","HETARB_StuntRanch"
"322","HETARB","12/16/15",-4.21,0.7712,"StuntRanch","HETARB_StuntRanch"
"323","MALLAU","12/16/15",-1.52,0.8539,"StuntRanch","MALLAU_StuntRanch"
"324","MALLAU","12/16/15",-1.59,0.8918,"StuntRanch","MALLAU_StuntRanch"
"325","MALLAU","12/16/15",-1.65,0.7787,"StuntRanch","MALLAU_StuntRanch"
"326","MALLAU","12/16/15",-1.69,0.9618,"StuntRanch","MALLAU_StuntRanch"
"327","QUEAGR","12/16/15",-3.1,0.7911,"StuntRanch","QUEAGR_StuntRanch"
"328","QUEAGR","12/16/15",-3.17,0.7477,"StuntRanch","QUEAGR_StuntRanch"
"329","QUEAGR","12/16/15",-3.24,0.6881,"StuntRanch","QUEAGR_StuntRanch"
"330","QUEAGR","12/16/15",-3.38,0.6261,"StuntRanch","QUEAGR_StuntRanch"
"331","QUEBER","12/16/15",-4.76,0.5757,"StuntRanch","QUEBER_StuntRanch"
"332","QUEBER","12/16/15",-4.83,0.619,"StuntRanch","QUEBER_StuntRanch"
"333","QUEBER","12/16/15",-4.83,0.5728,"StuntRanch","QUEBER_StuntRanch"
"334","QUEBER","12/16/15",-5.03,0.5792,"StuntRanch","QUEBER_StuntRanch"
"335","SALLEU","12/16/15",-5.72,0.6436,"StuntRanch","SALLEU_StuntRanch"
"336","SALLEU","12/16/15",-5.93,0.6526,"StuntRanch","SALLEU_StuntRanch"
"337","SALLEU","12/16/15",-6.89,0.6023,"StuntRanch","SALLEU_StuntRanch"
"338","SALLEU","12/16/15",-7.38,0.5635,"StuntRanch","SALLEU_StuntRanch"
"339","SALMEL","12/16/15",-4.96,0.8791,"StuntRanch","SALMEL_StuntRanch"
"340","SALMEL","12/16/15",-6.69,0.6013,"StuntRanch","SALMEL_StuntRanch"
"341","SALMEL","12/16/15",-7.17,0.5273,"StuntRanch","SALMEL_StuntRanch"
"342","SALMEL","12/16/15",-7.31,0.5253,"StuntRanch","SALMEL_StuntRanch"
"343","ADEFAS","1/29/16",-2.07,1.0839,"StuntRanch","ADEFAS_StuntRanch"
"344","ADEFAS","1/29/16",-2.62,0.8824,"StuntRanch","ADEFAS_StuntRanch"
"345","ADEFAS","1/29/16",-2.62,0.7463,"StuntRanch","ADEFAS_StuntRanch"
"346","ADEFAS","1/29/16",-2.76,0.8905,"StuntRanch","ADEFAS_StuntRanch"
"347","ADEFAS","1/29/16",-3.24,0.7999,"StuntRanch","ADEFAS_StuntRanch"
"348","ARCGLA","1/29/16",-1.52,0.863,"StuntRanch","ARCGLA_StuntRanch"
"349","ARCGLA","1/29/16",-1.65,0.8861,"StuntRanch","ARCGLA_StuntRanch"
"350","ARCGLA","1/29/16",-1.79,0.8924,"StuntRanch","ARCGLA_StuntRanch"
"351","CERBET","1/29/16",-1.52,0.8305,"StuntRanch","CERBET_StuntRanch"
"352","CERBET","1/29/16",-1.93,0.836,"StuntRanch","CERBET_StuntRanch"
"353","CEASPI","1/29/16",-1.38,1.7173,"StuntRanch","CEASPI_StuntRanch"
"354","CEASPI","1/29/16",-1.93,0.5282,"StuntRanch","CEASPI_StuntRanch"
"355","CEASPI","1/29/16",-2.07,1.7457,"StuntRanch","CEASPI_StuntRanch"
"356","ERIFAS","1/29/16",-2.07,1.0938,"StuntRanch","ERIFAS_StuntRanch"
"357","ERIFAS","1/29/16",-2.21,1.0343,"StuntRanch","ERIFAS_StuntRanch"
"358","ERIFAS","1/29/16",-2.34,0.9236,"StuntRanch","ERIFAS_StuntRanch"
"359","HETARB","1/29/16",-1.24,0.8534,"StuntRanch","HETARB_StuntRanch"
"360","HETARB","1/29/16",-1.59,0.937,"StuntRanch","HETARB_StuntRanch"
"361","HETARB","1/29/16",-2.14,0.7149,"StuntRanch","HETARB_StuntRanch"
"362","MALLAU","1/29/16",-1.93,1.0164,"StuntRanch","MALLAU_StuntRanch"
"363","MALLAU","1/29/16",-2.07,1.0018,"StuntRanch","MALLAU_StuntRanch"
"364","MALLAU","1/29/16",-2.31,0.9083,"StuntRanch","MALLAU_StuntRanch"
"365","QUEAGR","1/29/16",-1.93,0.7715,"StuntRanch","QUEAGR_StuntRanch"
"366","QUEAGR","1/29/16",-2.21,0.6667,"StuntRanch","QUEAGR_StuntRanch"
"367","QUEAGR","1/29/16",-2.69,0.7313,"StuntRanch","QUEAGR_StuntRanch"
"368","QUEBER","1/29/16",-1.52,0.7559,"StuntRanch","QUEBER_StuntRanch"
"369","QUEBER","1/29/16",-1.97,0.8863,"StuntRanch","QUEBER_StuntRanch"
"370","SALLEU","1/29/16",-1.24,1.7536,"StuntRanch","SALLEU_StuntRanch"
"371","SALLEU","1/29/16",-1.31,2.1217,"StuntRanch","SALLEU_StuntRanch"
"372","SALLEU","1/29/16",-1.45,2.4531,"StuntRanch","SALLEU_StuntRanch"
"373","SALMEL","1/29/16",-1.38,2.0278,"StuntRanch","SALMEL_StuntRanch"
"374","SALMEL","1/29/16",-1.52,2.0284,"StuntRanch","SALMEL_StuntRanch"
"375","SALMEL","1/29/16",-1.93,1.6765,"StuntRanch","SALMEL_StuntRanch"
"376","ADEFAS","2/19/16",-1.79,1.3645,"StuntRanch","ADEFAS_StuntRanch"
"377","ARCGLA","2/19/16",-1.17,0.8518,"StuntRanch","ARCGLA_StuntRanch"
"378","ARCGLA","2/19/16",-1.59,0.8393,"StuntRanch","ARCGLA_StuntRanch"
"379","ARCGLA","2/19/16",-1.65,0.8638,"StuntRanch","ARCGLA_StuntRanch"
"380","CERBET","2/19/16",-1.24,1.1707,"StuntRanch","CERBET_StuntRanch"
"381","CERBET","2/19/16",-1.24,1.1165,"StuntRanch","CERBET_StuntRanch"
"382","CERBET","2/19/16",-1.31,0.9925,"StuntRanch","CERBET_StuntRanch"
"383","CEASPI","2/19/16",-1.38,1.386,"StuntRanch","CEASPI_StuntRanch"
"384","CEASPI","2/19/16",-1.59,1.1654,"StuntRanch","CEASPI_StuntRanch"
"385","CEASPI","2/19/16",-1.65,1.5835,"StuntRanch","CEASPI_StuntRanch"
"386","ERIFAS","2/19/16",-1.38,1.4235,"StuntRanch","ERIFAS_StuntRanch"
"387","ERIFAS","2/19/16",-1.79,1.2461,"StuntRanch","ERIFAS_StuntRanch"
"388","ERIFAS","2/19/16",-1.93,1.2702,"StuntRanch","ERIFAS_StuntRanch"
"389","HETARB","2/19/16",-1.31,0.9424,"StuntRanch","HETARB_StuntRanch"
"390","HETARB","2/19/16",-1.52,0.9798,"StuntRanch","HETARB_StuntRanch"
"391","HETARB","2/19/16",-1.65,1.087,"StuntRanch","HETARB_StuntRanch"
"392","MALLAU","2/19/16",-1.17,1.0209,"StuntRanch","MALLAU_StuntRanch"
"393","MALLAU","2/19/16",-1.24,1.1476,"StuntRanch","MALLAU_StuntRanch"
"394","MALLAU","2/19/16",-1.38,0.9638,"StuntRanch","MALLAU_StuntRanch"
"395","QUEAGR","2/19/16",-1.41,0.8766,"StuntRanch","QUEAGR_StuntRanch"
"396","QUEAGR","2/19/16",-1.59,1.8436,"StuntRanch","QUEAGR_StuntRanch"
"397","QUEAGR","2/19/16",-1.72,1.4472,"StuntRanch","QUEAGR_StuntRanch"
"398","QUEBER","2/19/16",-2,0.71,"StuntRanch","QUEBER_StuntRanch"
"399","QUEBER","2/19/16",-2.62,0.6488,"StuntRanch","QUEBER_StuntRanch"
"400","QUEBER","2/19/16",-2.69,0.723,"StuntRanch","QUEBER_StuntRanch"
"401","SALLEU","2/19/16",-1.45,2.5746,"StuntRanch","SALLEU_StuntRanch"
"402","SALLEU","2/19/16",-1.52,2.1368,"StuntRanch","SALLEU_StuntRanch"
"403","SALLEU","2/19/16",-1.59,1.6186,"StuntRanch","SALLEU_StuntRanch"
"404","SALMEL","2/19/16",-1.1,2.9911,"StuntRanch","SALMEL_StuntRanch"
"405","SALMEL","2/19/16",-1.17,2.6008,"StuntRanch","SALMEL_StuntRanch"
"406","SALMEL","2/19/16",-1.24,2.5699,"StuntRanch","SALMEL_StuntRanch"
"407","ADEFAS","3/9/16",-2.07,1.0123,"StuntRanch","ADEFAS_StuntRanch"
"408","ADEFAS","3/9/16",-2.21,0.8004,"StuntRanch","ADEFAS_StuntRanch"
"409","ADEFAS","3/9/16",-2.48,0.8608,"StuntRanch","ADEFAS_StuntRanch"
"410","ARCGLA","3/9/16",-1.38,0.8624,"StuntRanch","ARCGLA_StuntRanch"
"411","ARCGLA","3/9/16",-1.93,0.9501,"StuntRanch","ARCGLA_StuntRanch"
"412","ARCGLA","3/9/16",-2.07,0.6216,"StuntRanch","ARCGLA_StuntRanch"
"413","CERBET","3/9/16",-1.45,0.9958,"StuntRanch","CERBET_StuntRanch"
"414","CERBET","3/9/16",-1.52,0.9312,"StuntRanch","CERBET_StuntRanch"
"415","CERBET","3/9/16",-1.55,0.9581,"StuntRanch","CERBET_StuntRanch"
"416","CEASPI","3/9/16",-1.65,1.8348,"StuntRanch","CEASPI_StuntRanch"
"417","CEASPI","3/9/16",-1.76,1.5062,"StuntRanch","CEASPI_StuntRanch"
"418","CEASPI","3/9/16",-1.9,1.0637,"StuntRanch","CEASPI_StuntRanch"
"419","ERIFAS","3/9/16",-1.52,1.3471,"StuntRanch","ERIFAS_StuntRanch"
"420","ERIFAS","3/9/16",-1.86,1.2382,"StuntRanch","ERIFAS_StuntRanch"
"421","ERIFAS","3/9/16",-2.41,0.7083,"StuntRanch","ERIFAS_StuntRanch"
"422","HETARB","3/9/16",-2.07,0.9265,"StuntRanch","HETARB_StuntRanch"
"423","HETARB","3/9/16",-2.21,1.0078,"StuntRanch","HETARB_StuntRanch"
"424","HETARB","3/9/16",-2.48,0.9042,"StuntRanch","HETARB_StuntRanch"
"425","MALLAU","3/9/16",-0.69,2.3535,"StuntRanch","MALLAU_StuntRanch"
"426","MALLAU","3/9/16",-1.38,1.028,"StuntRanch","MALLAU_StuntRanch"
"427","MALLAU","3/9/16",-1.59,0.9626,"StuntRanch","MALLAU_StuntRanch"
"428","QUEAGR","3/9/16",-1.59,0.652,"StuntRanch","QUEAGR_StuntRanch"
"429","QUEAGR","3/9/16",-1.65,0.921,"StuntRanch","QUEAGR_StuntRanch"
"430","QUEAGR","3/9/16",-1.86,1.0198,"StuntRanch","QUEAGR_StuntRanch"
"431","QUEBER","3/9/16",-1.72,1.0827,"StuntRanch","QUEBER_StuntRanch"
"432","QUEBER","3/9/16",-1.93,0.9493,"StuntRanch","QUEBER_StuntRanch"
"433","QUEBER","3/9/16",-2.24,1.0393,"StuntRanch","QUEBER_StuntRanch"
"434","SALLEU","3/9/16",-1.03,2.2631,"StuntRanch","SALLEU_StuntRanch"
"435","SALLEU","3/9/16",-1.38,2.4151,"StuntRanch","SALLEU_StuntRanch"
"436","SALLEU","3/9/16",-1.72,2.523,"StuntRanch","SALLEU_StuntRanch"
"437","SALMEL","3/9/16",-1.38,2.4276,"StuntRanch","SALMEL_StuntRanch"
"438","SALMEL","3/9/16",-1.48,2.1486,"StuntRanch","SALMEL_StuntRanch"
"439","SALMEL","3/9/16",-1.55,2.8598,"StuntRanch","SALMEL_StuntRanch"
"440","ADEFAS","3/31/16",-2.07,0.7129,"StuntRanch","ADEFAS_StuntRanch"
"441","ADEFAS","3/31/16",-2.17,0.7482,"StuntRanch","ADEFAS_StuntRanch"
"442","ADEFAS","3/31/16",-2.21,0.7726,"StuntRanch","ADEFAS_StuntRanch"
"443","ARCGLA","3/31/16",-1.31,1.8859,"StuntRanch","ARCGLA_StuntRanch"
"444","ARCGLA","3/31/16",-1.59,0.9962,"StuntRanch","ARCGLA_StuntRanch"
"445","ARCGLA","3/31/16",-1.65,0.8465,"StuntRanch","ARCGLA_StuntRanch"
"446","CERBET","3/31/16",-1.1,1.019,"StuntRanch","CERBET_StuntRanch"
"447","CERBET","3/31/16",-1.41,0.9616,"StuntRanch","CERBET_StuntRanch"
"448","CERBET","3/31/16",-1.48,0.9119,"StuntRanch","CERBET_StuntRanch"
"449","CEASPI","3/31/16",-1.38,1.3837,"StuntRanch","CEASPI_StuntRanch"
"450","CEASPI","3/31/16",-1.45,1.2079,"StuntRanch","CEASPI_StuntRanch"
"451","CEASPI","3/31/16",-1.52,1.0574,"StuntRanch","CEASPI_StuntRanch"
"452","ERIFAS","3/31/16",-2,1.0752,"StuntRanch","ERIFAS_StuntRanch"
"453","ERIFAS","3/31/16",-2.03,1.2428,"StuntRanch","ERIFAS_StuntRanch"
"454","ERIFAS","3/31/16",-2.07,1.2081,"StuntRanch","ERIFAS_StuntRanch"
"455","HETARB","3/31/16",-1.38,0.9475,"StuntRanch","HETARB_StuntRanch"
"456","HETARB","3/31/16",-1.55,1.6854,"StuntRanch","HETARB_StuntRanch"
"457","HETARB","3/31/16",-1.93,1.2277,"StuntRanch","HETARB_StuntRanch"
"458","MALLAU","3/31/16",-1.14,1.843,"StuntRanch","MALLAU_StuntRanch"
"459","MALLAU","3/31/16",-1.24,1.2039,"StuntRanch","MALLAU_StuntRanch"
"460","MALLAU","3/31/16",-1.38,1.3249,"StuntRanch","MALLAU_StuntRanch"
"461","QUEAGR","3/31/16",-1.45,0.9944,"StuntRanch","QUEAGR_StuntRanch"
"462","QUEAGR","3/31/16",-1.76,0.9341,"StuntRanch","QUEAGR_StuntRanch"
"463","QUEAGR","3/31/16",-1.86,0.7483,"StuntRanch","QUEAGR_StuntRanch"
"464","QUEBER","3/31/16",-1.52,0.8202,"StuntRanch","QUEBER_StuntRanch"
"465","QUEBER","3/31/16",-1.62,0.8377,"StuntRanch","QUEBER_StuntRanch"
"466","QUEBER","3/31/16",-1.76,0.9189,"StuntRanch","QUEBER_StuntRanch"
"467","SALLEU","3/31/16",-0.69,2.3143,"StuntRanch","SALLEU_StuntRanch"
"468","SALLEU","3/31/16",-0.93,1.706,"StuntRanch","SALLEU_StuntRanch"
"469","SALLEU","3/31/16",-0.97,2.0745,"StuntRanch","SALLEU_StuntRanch"
"470","SALMEL","3/31/16",-0.83,2,"StuntRanch","SALMEL_StuntRanch"
"471","SALMEL","3/31/16",-0.83,2.6892,"StuntRanch","SALMEL_StuntRanch"
"472","SALMEL","3/31/16",-1.03,2.2878,"StuntRanch","SALMEL_StuntRanch"
"473","HETARB","2/25/17",-1.17,0.822590068,"StuntRanch","HETARB_StuntRanch"
"474","HETARB","2/25/17",-1.17,0.748518205,"StuntRanch","HETARB_StuntRanch"
"475","HETARB","2/25/17",-1.31,0.860096931,"StuntRanch","HETARB_StuntRanch"
"476","MALLAU","2/25/17",-0.97,0.912197996,"StuntRanch","MALLAU_StuntRanch"
"477","MALLAU","2/25/17",-1.45,0.933728726,"StuntRanch","MALLAU_StuntRanch"
"478","MALLAU","2/25/17",-1.24,0.728103946,"StuntRanch","MALLAU_StuntRanch"
"479","QUEAGR","2/25/17",-1.24,1.23476005,"StuntRanch","QUEAGR_StuntRanch"
"480","QUEAGR","2/25/17",-1.72,0.694276094,"StuntRanch","QUEAGR_StuntRanch"
"481","QUEAGR","2/25/17",-1.38,0.71255814,"StuntRanch","QUEAGR_StuntRanch"
"482","SALLEU","2/25/17",-1.52,2.15576324,"StuntRanch","SALLEU_StuntRanch"
"483","SALLEU","2/25/17",-1.45,2.1751026,"StuntRanch","SALLEU_StuntRanch"
"484","SALLEU","2/25/17",-0.97,2.43398533,"StuntRanch","SALLEU_StuntRanch"
"485","ABICON","2021-04-24",-0.765,1.367987918,"SEKI","ABICON_SEKI"
"486","ABICON","2021-04-24",-0.97,1.404427031,"SEKI","ABICON_SEKI"
"487","ABICON","2021-04-24",-1.125,1.246264749,"SEKI","ABICON_SEKI"
"488","ABICON","2021-04-24",-0.935,1.242028867,"SEKI","ABICON_SEKI"
"489","ABICON","2021-04-24",-1.115,1.310974719,"SEKI","ABICON_SEKI"
"490","ABICON","2021-04-24",-0.89,1.277849324,"SEKI","ABICON_SEKI"
"491","ABICON","2021-04-24",-1.545,1.366259488,"SEKI","ABICON_SEKI"
"492","ABICON","2021-04-24",-0.815,1.337575195,"SEKI","ABICON_SEKI"
"493","ABICON","2021-04-24",-1.57,1.316718142,"SEKI","ABICON_SEKI"
"494","ABICON","2021-04-24",-1.56,1.18928846,"SEKI","ABICON_SEKI"
"495","ABICON","2021-04-24",-1.48,1.262829053,"SEKI","ABICON_SEKI"
"496","ABICON","2020-08-04",-1.7,1.899899179,"SEKI","ABICON_SEKI"
"497","ABICON","2020-08-26",-1.9385,1.680235936,"SEKI","ABICON_SEKI"
"498","ABICON","2021-06-16",-2.17,1.919749403,"SEKI","ABICON_SEKI"
"499","ABICON","2021-07-30",-2.05,1.908559853,"SEKI","ABICON_SEKI"
"500","ABICON","2021-09-16",-1.86,1.360741386,"SEKI","ABICON_SEKI"
"501","ABICON","2021-07-08",-2.136666667,2.665707434,"SEKI","ABICON_SEKI"
"502","ABICON","2021-08-19",-2.045,1.618935469,"SEKI","ABICON_SEKI"
"503","ABICON","2021-09-16",-1.96,1.940756397,"SEKI","ABICON_SEKI"
"504","ABICON","2021-10-16",-1.97,2.21149576,"SEKI","ABICON_SEKI"
"505","ABICON","2021-05-15",-0.795,1.219488833,"SEKI","ABICON_SEKI"
"506","ABICON","2021-07-30",-2.046666667,1.838530411,"SEKI","ABICON_SEKI"
"507","ABICON","2021-08-19",-2.005,1.523414655,"SEKI","ABICON_SEKI"
"508","ABICON","2021-09-16",-2.235,1.450229112,"SEKI","ABICON_SEKI"
"509","ABICON","2021-10-16",-1.9,1.285439901,"SEKI","ABICON_SEKI"
"510","ABICON","2021-07-08",-2.27,2.678534393,"SEKI","ABICON_SEKI"
"511","ABICON","2021-10-16",-1.9,1.307082925,"SEKI","ABICON_SEKI"
"512","ABICON","2021-07-30",-2.275,1.16507718,"SEKI","ABICON_SEKI"
"513","ABICON","2021-08-19",-2.21,1.335897057,"SEKI","ABICON_SEKI"
"514","ABICON","2021-05-15",-1.515,1.170487395,"SEKI","ABICON_SEKI"
"515","ABICON","2021-07-08",-2.193333333,2.495819519,"SEKI","ABICON_SEKI"
"516","ABICON","2021-07-30",-2.16,1.477605512,"SEKI","ABICON_SEKI"
"517","ABICON","2021-08-19",-2.115,1.406290549,"SEKI","ABICON_SEKI"
"518","ABICON","2021-09-16",-2.195,1.58148316,"SEKI","ABICON_SEKI"
"519","ABICON","2021-10-16",-1.825,1.389745866,"SEKI","ABICON_SEKI"
"520","ABICON","2020-08-04",-1.92,1.910454938,"SEKI","ABICON_SEKI"
"521","ABICON","2020-08-26",-2.3915,1.724758793,"SEKI","ABICON_SEKI"
"522","ABICON","2020-10-19",-2.0865,1.619039524,"SEKI","ABICON_SEKI"
"523","ABICON","2020-08-04",-1.805,1.77085171,"SEKI","ABICON_SEKI"
"524","ABICON","2020-08-26",-1.9645,1.830025152,"SEKI","ABICON_SEKI"
"525","ABICON","2020-10-19",-2.0355,1.66799407,"SEKI","ABICON_SEKI"
"526","ABICON","2020-08-04",-1.8,1.73710297,"SEKI","ABICON_SEKI"
"527","ABICON","2020-08-26",-2.3265,1.72039528,"SEKI","ABICON_SEKI"
"528","ABICON","2020-10-19",-2.265,1.600374515,"SEKI","ABICON_SEKI"
"529","ABICON","2020-08-04",-1.925,1.787627112,"SEKI","ABICON_SEKI"
"530","ABICON","2020-08-26",-2.2285,1.71456421,"SEKI","ABICON_SEKI"
"531","ABICON","2020-10-19",-2.202,1.607845977,"SEKI","ABICON_SEKI"
"532","ABICON","2020-08-04",-1.445,1.746981691,"SEKI","ABICON_SEKI"
"533","ABICON","2020-08-26",-2.019,1.658264518,"SEKI","ABICON_SEKI"
"534","ABICON","2020-10-19",-2.2345,1.614821905,"SEKI","ABICON_SEKI"
"535","ABICON","2020-08-04",-1.865,2.396032968,"SEKI","ABICON_SEKI"
"536","ABICON","2020-08-26",-2.195,1.95389157,"SEKI","ABICON_SEKI"
"537","ABICON","2020-10-19",-1.998,1.598613426,"SEKI","ABICON_SEKI"
"538","ABICON","2020-08-04",-1.845,2.06695348,"SEKI","ABICON_SEKI"
"539","ABICON","2020-08-26",-1.7505,1.312832034,"SEKI","ABICON_SEKI"
"540","ABICON","2020-10-19",-2.394,1.599327393,"SEKI","ABICON_SEKI"
"541","ABICON","2021-07-31",-1.825,2.031806205,"SEKI","ABICON_SEKI"
"542","ABICON","2021-08-20",-2.04,1.591595407,"SEKI","ABICON_SEKI"
"543","ABICON","2021-09-17",-1.885,1.404497696,"SEKI","ABICON_SEKI"
"544","ABICON","2021-10-17",-1.87,1.403265107,"SEKI","ABICON_SEKI"
"545","ABICON","2021-07-31",-1.793333333,2.02282029,"SEKI","ABICON_SEKI"
"546","ABICON","2021-08-20",-2.016666667,1.583967756,"SEKI","ABICON_SEKI"
"547","ABICON","2021-09-17",-1.865,1.335532933,"SEKI","ABICON_SEKI"
"548","ABICON","2021-10-17",-1.955,1.428093831,"SEKI","ABICON_SEKI"
"549","ABICON","2021-07-31",-1.8,1.934981399,"SEKI","ABICON_SEKI"
"550","ABICON","2021-08-20",-1.89,1.835597331,"SEKI","ABICON_SEKI"
"551","ABICON","2021-09-17",-1.865,1.861346046,"SEKI","ABICON_SEKI"
"552","ABICON","2021-10-17",-1.93,1.658039517,"SEKI","ABICON_SEKI"
"553","ABICON","2021-07-09",-1.97,2.393787596,"SEKI","ABICON_SEKI"
"554","ABICON","2021-07-31",-1.825,1.601263334,"SEKI","ABICON_SEKI"
"555","ABICON","2021-07-09",-1.92,2.425369686,"SEKI","ABICON_SEKI"
"556","ABICON","2021-07-31",-1.98,1.331894835,"SEKI","ABICON_SEKI"
"557","ABICON","2021-08-20",-2.115,1.313307393,"SEKI","ABICON_SEKI"
"558","ABICON","2021-09-17",-1.97,1.198367575,"SEKI","ABICON_SEKI"
"559","ABICON","2020-08-04",-1.805,1.959206412,"SEKI","ABICON_SEKI"
"560","ABICON","2020-08-26",-1.877,1.991485746,"SEKI","ABICON_SEKI"
"561","ABICON","2020-10-19",-2.2435,1.282792728,"SEKI","ABICON_SEKI"
"562","ABICON","2020-10-19",-2.2435,1.444046781,"SEKI","ABICON_SEKI"
"563","ABICON","2020-10-19",-2.2435,1.663814574,"SEKI","ABICON_SEKI"
"564","ABICON","2020-08-04",-1.725,0.8842143311,"SEKI","ABICON_SEKI"
"565","ABICON","2020-08-26",-1.796,0.8471023191,"SEKI","ABICON_SEKI"
"566","ABICON","2020-08-04",-1.87,1.296646052,"SEKI","ABICON_SEKI"
"567","ABICON","2020-08-26",-1.727,1.542216714,"SEKI","ABICON_SEKI"
"568","ABICON","2021-04-24",-0.765,1.177724041,"SEKI","ABICON_SEKI"
"569","ABICON","2021-04-24",-0.97,1.278647084,"SEKI","ABICON_SEKI"
"570","ABICON","2021-04-24",-1.125,1.159194827,"SEKI","ABICON_SEKI"
"571","ABICON","2021-04-24",-0.935,1.171928733,"SEKI","ABICON_SEKI"
"572","ABICON","2021-04-24",-1.115,1.269409766,"SEKI","ABICON_SEKI"
"573","ABICON","2021-04-24",-0.89,1.267246254,"SEKI","ABICON_SEKI"
"574","ABICON","2021-04-24",-1.545,1.239121829,"SEKI","ABICON_SEKI"
"575","ABICON","2021-04-24",-0.815,1.259093413,"SEKI","ABICON_SEKI"
"576","ABICON","2021-04-24",-1.57,1.171128028,"SEKI","ABICON_SEKI"
"577","ABICON","2021-04-24",-1.56,1.126673354,"SEKI","ABICON_SEKI"
"578","ABICON","2021-04-24",-1.48,1.129226181,"SEKI","ABICON_SEKI"
"579","ABICON","2020-08-04",-1.7,1.362643268,"SEKI","ABICON_SEKI"
"580","ABICON","2020-08-26",-1.9385,1.462693365,"SEKI","ABICON_SEKI"
"581","ABICON","2020-10-19",-2.285,1.34831468,"SEKI","ABICON_SEKI"
"582","ABICON","2020-10-19",-2.285,1.34831468,"SEKI","ABICON_SEKI"
"583","ABICON","2020-10-19",-2.285,1.497689864,"SEKI","ABICON_SEKI"
"584","ABICON","2020-10-19",-2.285,1.497689864,"SEKI","ABICON_SEKI"
"585","ABICON","2021-05-15",-1.56,1.096013333,"SEKI","ABICON_SEKI"
"586","ABICON","2021-06-16",-2.17,1.135494922,"SEKI","ABICON_SEKI"
"587","ABICON","2021-07-08",-1.725,1.34586799,"SEKI","ABICON_SEKI"
"588","ABICON","2021-07-30",-2.05,1.401354188,"SEKI","ABICON_SEKI"
"589","ABICON","2021-08-19",-1.89,1.269074131,"SEKI","ABICON_SEKI"
"590","ABICON","2021-09-16",-1.86,1.254719451,"SEKI","ABICON_SEKI"
"591","ABICON","2021-10-16",-1.885,1.188754801,"SEKI","ABICON_SEKI"
"592","ABICON","2021-05-15",-1.725,1.112280881,"SEKI","ABICON_SEKI"
"593","ABICON","2021-06-16",-1.96,1.070244153,"SEKI","ABICON_SEKI"
"594","ABICON","2021-07-08",-2.136666667,1.170055022,"SEKI","ABICON_SEKI"
"595","ABICON","2021-08-19",-2.045,1.337093559,"SEKI","ABICON_SEKI"
"596","ABICON","2021-09-16",-1.96,1.253250867,"SEKI","ABICON_SEKI"
"597","ABICON","2021-10-16",-1.97,1.440331076,"SEKI","ABICON_SEKI"
"598","ABICON","2021-05-15",-0.795,1.005980322,"SEKI","ABICON_SEKI"
"599","ABICON","2021-06-16",-1.87,1.293575352,"SEKI","ABICON_SEKI"
"600","ABICON","2021-07-08",-1.896666667,1.308164042,"SEKI","ABICON_SEKI"
"601","ABICON","2021-07-30",-2.046666667,1.247024133,"SEKI","ABICON_SEKI"
