"","Species","date","mwp","lfm","study","Sp.Site"
"72","QUEKEL","21-Oct",-2.63,0.856270199,"Pepperwood","QUEKEL_Pepperwood"
"73","UMBCAL","21-Oct",-2.75,1.099858213,"Pepperwood","UMBCAL_Pepperwood"
"74","UMBCAL","21-Oct",-2.35,1.011867545,"Pepperwood","UMBCAL_Pepperwood"
"75","UMBCAL","21-Oct",-2.65,0.928036816,"Pepperwood","UMBCAL_Pepperwood"
"76","UMBCAL","21-Oct",-2.52,1.119425868,"Pepperwood","UMBCAL_Pepperwood"
"77","UMBCAL","21-Oct",-2.45,1.143309835,"Pepperwood","UMBCAL_Pepperwood"
"78","UMBCAL","21-Oct",-2.93,1.086683609,"Pepperwood","UMBCAL_Pepperwood"
"79","QUEGAR","22-Jun",-1.56,0.94005994,"Pepperwood","QUEGAR_Pepperwood"
"80","QUEDUR","22-Jun",-0.23,0.953642384,"Pepperwood","QUEDUR_Pepperwood"
"81","HETARB","22-Jun",-1.59,1.381935484,"Pepperwood","HETARB_Pepperwood"
"82","ADEFAS","22-Jun",-0.96,1.233128834,"Pepperwood","ADEFAS_Pepperwood"
"83","HETARB","22-Jun",-0.83,1.443365696,"Pepperwood","HETARB_Pepperwood"
"84","ADEFAS","22-Jun",-0.64,0.963882619,"Pepperwood","ADEFAS_Pepperwood"
"85","HETARB","22-Jun",-1.25,1.57837181,"Pepperwood","HETARB_Pepperwood"
"86","HETARB","22-Jun",-1.4,1.902158273,"Pepperwood","HETARB_Pepperwood"
"87","ADEFAS","22-Jun",-1.13,1.082706767,"Pepperwood","ADEFAS_Pepperwood"
"88","ADEFAS","22-Jun",-0.9,1.142307692,"Pepperwood","ADEFAS_Pepperwood"
"89","QUEAGR","22-Jun",-1.48,1.155672823,"Pepperwood","QUEAGR_Pepperwood"
"90","CEACUN","22-Jun",-1.58,1.322946176,"Pepperwood","CEACUN_Pepperwood"
"91","CEACUN","22-Jun",-2.45,1.163978495,"Pepperwood","CEACUN_Pepperwood"
"92","CEACUN","22-Jun",-2.73,1.225705329,"Pepperwood","CEACUN_Pepperwood"
"93","ADEFAS","22-Jun",-2.55,0.864150943,"Pepperwood","ADEFAS_Pepperwood"
"94","ADEFAS","22-Jun",-2.05,0.816777042,"Pepperwood","ADEFAS_Pepperwood"
"95","CEAPAR","22-Jun",-0.9,1.658682635,"Pepperwood","CEAPAR_Pepperwood"
"96","CEAPAR","22-Jun",-2.1,1.338078292,"Pepperwood","CEAPAR_Pepperwood"
"97","CEAPAR","22-Jun",-2.68,1.077777778,"Pepperwood","CEAPAR_Pepperwood"
"98","QUEAGR","22-Jun",-1.68,1.066365008,"Pepperwood","QUEAGR_Pepperwood"
"99","QUEDOU","22-Jun",-1.66,1.031869078,"Pepperwood","QUEDOU_Pepperwood"
"100","QUEKEL","22-Jun",-0.61,0.993553009,"Pepperwood","QUEKEL_Pepperwood"
"101","QUEAGR","22-Jun",-1.42,1.051075269,"Pepperwood","QUEAGR_Pepperwood"
"102","QUEKEL","22-Jun",-1.32,1.114448052,"Pepperwood","QUEKEL_Pepperwood"
"103","QUEGAR","22-Jun",-2.25,1.079819277,"Pepperwood","QUEGAR_Pepperwood"
"104","QUEGAR","22-Jun",-2.43,0.9348659,"Pepperwood","QUEGAR_Pepperwood"
"105","QUEKEL","22-Jun",-1.83,1.126344086,"Pepperwood","QUEKEL_Pepperwood"
"106","QUEKEL","22-Jun",-1.83,1.041310541,"Pepperwood","QUEKEL_Pepperwood"
"107","QUEDOU","22-Jun",-1.23,1.252118644,"Pepperwood","QUEDOU_Pepperwood"
"108","QUEKEL","22-Jun",-1.59,1.008973081,"Pepperwood","QUEKEL_Pepperwood"
"109","UMBCAL","22-Jun",-1.45,1.4375,"Pepperwood","UMBCAL_Pepperwood"
"110","QUEAGR","22-Jun",-0.96,0.956140351,"Pepperwood","QUEAGR_Pepperwood"
"111","QUEAGR","22-Jun",-0.28,1.454368932,"Pepperwood","QUEAGR_Pepperwood"
"112","UMBCAL","22-Jun",-0.68,1.354666667,"Pepperwood","UMBCAL_Pepperwood"
"113","UMBCAL","22-Jun",-1.33,1.234269119,"Pepperwood","UMBCAL_Pepperwood"
"114","UMBCAL","22-Jun",-0.96,1.648444863,"Pepperwood","UMBCAL_Pepperwood"
"115","UMBCAL","22-Jun",-0.43,2.295739348,"Pepperwood","UMBCAL_Pepperwood"
"116","PSEMEN","22-Jun",-1.01,1.427350427,"Pepperwood","PSEMEN_Pepperwood"
"117","QUEDOU","22-Jun",-2.65,1.045822102,"Pepperwood","QUEDOU_Pepperwood"
"118","QUEDOU","22-Jun",-1.63,1.095679012,"Pepperwood","QUEDOU_Pepperwood"
"119","QUEDOU","22-Jun",-0.97,1.211081794,"Pepperwood","QUEDOU_Pepperwood"
"120","QUEAGR","22-Jun",-1.71,1.037634409,"Pepperwood","QUEAGR_Pepperwood"
"121","QUEGAR","22-Jun",-1.23,0.857418112,"Pepperwood","QUEGAR_Pepperwood"
"122","QUEDOU","22-Jun",-1.87,1.009160305,"Pepperwood","QUEDOU_Pepperwood"
"123","PSEMEN","22-Jun",-1.53,1.338790932,"Pepperwood","PSEMEN_Pepperwood"
"124","QUEKEL","22-Jun",-2.7,1.255912162,"Pepperwood","QUEKEL_Pepperwood"
"125","ARBMEN","22-Jun",-1.72,1.787968442,"Pepperwood","ARBMEN_Pepperwood"
"126","ARBMEN","22-Jun",-1.7,1.858657244,"Pepperwood","ARBMEN_Pepperwood"
"127","ARBMEN","22-Jun",-1.83,1.617021277,"Pepperwood","ARBMEN_Pepperwood"
