"","Species","date","wp","time","lfm","study","tissue_age","Sp.Site"
"82","QUEAGR",2021-10-09,-0.53,"pd",0.898304996,"Pepperwood",NA,"QUEAGR_Pepperwood"
"83","QUEAGR",2021-10-09,-1.65,"md",0.898304996,"Pepperwood",NA,"QUEAGR_Pepperwood"
"84","QUEAGR",2020-10-10,-2.35,"pd",0.803223525,"Pepperwood",NA,"QUEAGR_Pepperwood"
"85","QUEAGR",2020-10-10,-3.5,"md",0.803223525,"Pepperwood",NA,"QUEAGR_Pepperwood"
"86","QUEDOU",2021-10-09,-2.5,"pd",0.447947395,"Pepperwood",NA,"QUEDOU_Pepperwood"
"87","QUEDOU",2021-10-09,-4.48,"md",0.447947395,"Pepperwood",NA,"QUEDOU_Pepperwood"
"88","QUEDOU",2021-10-10,-1.45,"pd",0.799913047,"Pepperwood",NA,"QUEDOU_Pepperwood"
"89","QUEDOU",2021-10-10,-3.69,"md",0.799913047,"Pepperwood",NA,"QUEDOU_Pepperwood"
"90","QUEDOU",2020-10-10,-3.7,"pd",0.700167662,"Pepperwood",NA,"QUEDOU_Pepperwood"
"91","QUEDOU",2020-10-10,-4.93,"md",0.700167662,"Pepperwood",NA,"QUEDOU_Pepperwood"
"92","QUEDOU",2020-10-10,-2.88,"pd",0.91333248,"Pepperwood",NA,"QUEDOU_Pepperwood"
"93","QUEDOU",2020-10-10,-5.86,"md",0.91333248,"Pepperwood",NA,"QUEDOU_Pepperwood"
"94","QUEDOU",2020-10-10,-2.55,"pd",0.76995303,"Pepperwood",NA,"QUEDOU_Pepperwood"
"95","QUEDOU",2020-10-10,-4.7,"md",0.76995303,"Pepperwood",NA,"QUEDOU_Pepperwood"
"96","QUEDOU",2020-10-10,-4.48,"pd",0.658393785,"Pepperwood",NA,"QUEDOU_Pepperwood"
"97","QUEDOU",2020-10-10,-5.7,"md",0.658393785,"Pepperwood",NA,"QUEDOU_Pepperwood"
"98","QUEDUR",2021-10-09,-1.35,"pd",0.642868762,"Pepperwood",NA,"QUEDUR_Pepperwood"
"99","QUEDUR",2021-10-09,-3,"md",0.642868762,"Pepperwood",NA,"QUEDUR_Pepperwood"
