x1,species,date,mwp,lfm,study,tissue_age,sp_site,ilfm,study_nice
58,QUEDUR,2021-10-09,-2.55,0.73762785,Pepperwood,both,QUEDUR_Pepperwood,1.3556971852404978,PwD
59,QUEDUR,2021-10-09,-3.23,0.663273416,Pepperwood,both,QUEDUR_Pepperwood,1.507673873062327,PwD
60,QUEDUR,2021-10-09,-2.5,0.741136309,Pepperwood,both,QUEDUR_Pepperwood,1.3492794616273482,PwD
61,QUEGAR,2020-10-10,-4.65,0.741709858,Pepperwood,both,QUEGAR_Pepperwood,1.3482360915310903,PwD
62,QUEGAR,2021-10-09,-5.2,0.80826202,Pepperwood,both,QUEGAR_Pepperwood,1.2372225531517613,PwD
63,QUEGAR,2021-10-09,-3.23,0.847712906,Pepperwood,both,QUEGAR_Pepperwood,1.1796446567253276,PwD
64,QUEGAR,2020-10-10,-5.4,0.706968294,Pepperwood,both,QUEGAR_Pepperwood,1.4144905910023737,PwD
65,QUEGAR,2021-10-09,-4.63,0.761625559,Pepperwood,both,QUEGAR_Pepperwood,1.3129811469470394,PwD
66,QUEGAR,2021-10-09,-4.6,0.843898212,Pepperwood,both,QUEGAR_Pepperwood,1.184977033699415,PwD
67,QUEKEL,2021-10-09,-4.47,0.914238534,Pepperwood,both,QUEKEL_Pepperwood,1.0938064441724789,PwD
68,QUEKEL,2021-10-09,-4.48,0.876059156,Pepperwood,both,QUEKEL_Pepperwood,1.1414754279447312,PwD
69,QUEKEL,2021-10-10,-3.28,0.877132291,Pepperwood,both,QUEKEL_Pepperwood,1.140078880073975,PwD
70,QUEKEL,2021-10-09,-4.72,0.839845336,Pepperwood,both,QUEKEL_Pepperwood,1.1906954258539812,PwD
71,QUEKEL,2021-10-09,-4.75,0.898006801,Pepperwood,both,QUEKEL_Pepperwood,1.1135773124283945,PwD
72,QUEKEL,2021-10-10,-2.63,0.856270199,Pepperwood,both,QUEKEL_Pepperwood,1.1678556618785234,PwD
73,UMBCAL,2021-10-09,-2.75,1.099858213,Pepperwood,both,UMBCAL_Pepperwood,0.9092081035357963,PwD
74,UMBCAL,2021-10-09,-2.35,1.011867545,Pepperwood,both,UMBCAL_Pepperwood,0.988271641818495,PwD
75,UMBCAL,2021-10-09,-2.65,0.928036816,Pepperwood,both,UMBCAL_Pepperwood,1.0775434581466001,PwD
76,UMBCAL,2021-10-09,-2.52,1.119425868,Pepperwood,both,UMBCAL_Pepperwood,0.8933150721151639,PwD
77,UMBCAL,2021-10-09,-2.45,1.143309835,Pepperwood,both,UMBCAL_Pepperwood,0.8746535448109742,PwD
78,UMBCAL,2021-10-09,-2.93,1.086683609,Pepperwood,both,UMBCAL_Pepperwood,0.9202310513547094,PwD
79,QUEGAR,2022-06-16,-1.56,0.94005994,Pepperwood,both,QUEGAR_Pepperwood,1.0637619554344588,PwD
80,QUEDUR,2022-06-17,-0.23,0.953642384,Pepperwood,both,QUEDUR_Pepperwood,1.0486111112276235,PwD
81,HETARB,2022-06-17,-1.59,1.381935484,Pepperwood,both,HETARB_Pepperwood,0.7236227823787467,PwD
82,ADEFAS,2022-06-17,-0.96,1.233128834,Pepperwood,both,ADEFAS_Pepperwood,0.8109452738658449,PwD
83,HETARB,2022-06-17,-0.83,1.443365696,Pepperwood,both,HETARB_Pepperwood,0.6928251120082044,PwD
84,ADEFAS,2022-06-17,-0.64,0.963882619,Pepperwood,both,ADEFAS_Pepperwood,1.0374707254680768,PwD
85,HETARB,2022-06-17,-1.25,1.57837181,Pepperwood,both,HETARB_Pepperwood,0.6335642803960114,PwD
86,HETARB,2022-06-17,-1.4,1.902158273,Pepperwood,both,HETARB_Pepperwood,0.5257186082748225,PwD
87,ADEFAS,2022-06-17,-1.13,1.082706767,Pepperwood,both,ADEFAS_Pepperwood,0.9236111110405576,PwD
88,ADEFAS,2022-06-17,-0.9,1.142307692,Pepperwood,both,ADEFAS_Pepperwood,0.875420875656679,PwD
89,QUEAGR,2022-06-16,-1.48,1.155672823,Pepperwood,both,QUEAGR_Pepperwood,0.8652968038169399,PwD
90,CEACUN,2022-06-16,-1.58,1.322946176,Pepperwood,both,CEACUN_Pepperwood,0.7558886507564159,PwD
91,CEACUN,2022-06-16,-2.45,1.163978495,Pepperwood,both,CEACUN_Pepperwood,0.8591224015697987,PwD
92,CEACUN,2022-06-16,-2.73,1.225705329,Pepperwood,both,CEACUN_Pepperwood,0.8158567775958491,PwD
