,Site,Species,Sample.number,Sampling,Alternate.number,DBH,Height,Date,Predawn.mean,Midday.mean,Bulk.wet,Bulk.dry,Bulk.change,Leaf.wet,Leaf.dry,Leaf.change,Stem.wet,Stem.dry,Stem.change,Leaf.LFM,Stem.LFM,Bulk.LFM,WPdiff
31,ST,HETARB,10714,21-Oct,NA,NA,NA,20211009,-1.98,-3.53,92.6777,49.7876,42.8901,75.4217,40.8567,34.565,17.256,8.9309,8.3251,0.846005673,0.932168091,0.861461488,-1.55
32,ST,HETARB,10716,21-Oct,NA,NA,NA,20211009,-2.37,-3.73,85.9337,44.7508,41.1829,62.051,32.2676,29.7834,23.8827,12.4832,11.3995,0.923012557,0.913187324,0.920271816,-1.36
33,ST,HETARB,10718,21-Oct,NA,NA,NA,20211009,-1.85,-2.6,76.7696,39.9817,36.7879,66.9583,34.9183,32.04,9.8113,5.0634,4.7479,0.917570443,0.93769009,0.920118454,-0.75
34,ST,HETARB,10719,21-Oct,NA,NA,NA,20211009,-1.35,-2.38,67.7078,34.3759,33.3319,60.7199,30.9539,29.766,6.9879,3.422,3.5659,0.961623576,1.042051432,0.969629886,-1.03
35,ST,HETARB,10989,21-Oct,NA,NA,NA,20211009,-2.26,-3.49,26.1862,14.0861,12.1001,23.4412,12.6724,10.7688,2.745,1.4137,1.3313,0.849783782,0.941713235,0.859009946,-1.23
36,ST,HETARB,10992,21-Oct,NA,NA,NA,20211009,-2.33,-3.08,60.99,32.1722,28.8178,55.3724,29.3784,25.994,5.6176,2.7938,2.8238,0.884799717,1.010738063,0.89573607,-0.75
37,OSM,PSEMEN,10965,21-Oct,5942,72.5,NA,20211009,-1.2,-2.3,40.004,17.33529,22.66871,33.685,14.46538,19.21962,6.319,2.86991,3.44909,1.328663333,1.201811207,1.307662577,-1.1
38,BOH,PSEMEN,10972,21-Oct,NA,31.3,NA,20211010,-1.61,-2.23,35.9488,16.22443,19.72437,28.8888,12.6467,16.2421,7.06,3.57773,3.48227,1.284295508,0.973318277,1.215720367,-0.62
39,BOH,PSEMEN,10978,21-Oct,NA,63.2,NA,20211010,-1.12,-2.4,33.3518,15.2347,18.1171,27.9408,12.5524,15.3884,5.411,2.6823,2.7287,1.225932889,1.017298587,1.189199656,-1.28
40,BOH,PSEMEN,10979,21-Oct,NA,23.7,NA,20211010,-0.75,-2.3,34.5817,15.8056,18.7761,28.0587,12.7251,15.3336,6.523,3.0805,3.4425,1.204988566,1.117513391,1.187939718,-1.55
41,DCP,PSEMEN,10982,21-Oct,NA,45.2,NA,20211009,-1.2,-2.75,24.1147,10.6508,13.4639,19.7477,8.5155,11.2322,4.367,2.1353,2.2317,1.319030004,1.045145881,1.264121005,-1.55
42,DCP,PSEMEN,10983,21-Oct,NA,35.3,NA,20211009,-1.65,-2.48,37.2084,17.52039,19.68801,29.6304,13.6727,15.9577,7.578,3.84769,3.73031,1.167121344,0.969493384,1.123719849,-0.83
43,RPH,QUEAGR,10722,21-Oct,7624,42.4,NA,20201010,-3,-3.6,22.0079,11.6858,10.3221,19.3319,10.2204,9.1115,2.676,1.4654,1.2106,0.891501311,0.82612256,0.883302812,-0.6
44,WTH,QUEAGR,10800,21-Oct,NA,89.8,NA,20211009,-2.03,-3.43,18.785,11.16876,7.61624,14.488,8.82976,5.65824,4.297,2.339,1.958,0.640814699,0.837109876,0.681923508,-1.4
45,WTH,QUEAGR,10805,21-Oct,NA,73.4,NA,20211009,-1.97,-3.03,24.8008,13.81271,10.98809,19.774,11.00651,8.76749,5.0268,2.8062,2.2206,0.796573119,0.791319222,0.795505733,-1.06
46,OSM,QUEAGR,10959,21-Oct,5901,66.8,NA,20211009,-0.65,-1.78,21.0405,11.3065,9.734,18.0085,9.756,8.2525,3.032,1.5505,1.4815,0.845889709,0.955498226,0.860920709,-1.13
47,OSM,QUEAGR,10960,21-Oct,5938,42.9,NA,20211009,-0.53,-1.65,21.8635,11.51738,10.34612,19.801,10.45808,9.34292,2.0625,1.0593,1.0032,0.893368572,0.947040498,0.898304996,-1.12
48,RPH,QUEAGR,10969,21-Oct,NA,79.9,NA,20201010,-2.35,-3.5,33.6532,18.6628,14.9904,26.9122,14.9161,11.9961,6.741,3.7467,2.9943,0.804238373,0.799183281,0.803223525,-1.15
49,WTH,QUEDOU,10801,21-Oct,NA,50.9,NA,20211009,-2.5,-4.48,22.9226,15.8311,7.0915,19.0726,13.3732,5.6994,3.85,2.4579,1.3921,0.42618072,0.566377802,0.447947395,-1.98
50,WTH,QUEDOU,10898,21-Oct,NA,58.6,NA,20211010,-1.45,-3.69,22.7698,12.6505,10.1193,15.7788,8.387,7.3918,6.991,4.2635,2.7275,0.881340169,0.639732614,0.799913047,-2.24
51,RPH,QUEDOU,10966,21-Oct,545,62.2,NA,20201010,-3.7,-4.93,19.8753,11.6902,8.1851,12.7783,7.1736,5.6047,7.097,4.5166,2.5804,0.781295305,0.571314706,0.700167662,-1.23
52,RPH,QUEDOU,10967,21-Oct,544,84.3,NA,20201010,-2.88,-5.86,16.4361,8.5903,7.8458,13.6251,7.711,5.9141,2.811,0.8793,1.9317,0.766969265,2.19686114,0.91333248,-2.98
53,RPH,QUEDOU,10968,21-Oct,543,72.2,NA,20201010,-2.55,-4.7,22.9713,12.97848,9.99282,15.9993,8.6682,7.3311,6.972,4.31028,2.66172,0.845746522,0.617528328,0.76995303,-2.15
54,RPH,QUEDOU,10971,21-Oct,546,46.5,NA,20201010,-4.48,-5.7,21.9238,13.2199,8.7039,12.9138,7.4313,5.4825,9.01,5.7886,3.2214,0.737757862,0.556507618,0.658393785,-1.22
55,ST,QUEDUR,10713,21-Oct,NA,NA,NA,20211009,-1.35,-3,40.3988,24.5904,15.8084,26.7163,15.9997,10.7166,13.6825,8.5907,5.0918,0.669800059,0.592710722,0.642868762,-1.65
56,ST,QUEDUR,10987,21-Oct,NA,NA,NA,20211009,-1.88,-3.58,13.3617,7.7239,5.6378,8.6373,4.9041,3.7332,4.7244,2.8198,1.9046,0.761240595,0.675437974,0.729916234,-1.7
